ClienteID;Cliente;NomeContato;Endereco;Cidade;Pais;PaisCodigo;Regiao;CEP;Latitude;Longitude;Fax;Telefone
1;Eintrach GS;Albert von Einstein;Obere Str. 57;Berlin;Germany;DE;Europe;12209.0;52.401482;13.099724;030-0076545;030-0074321
2;La Tienda de la Esquina;Paco el Maco;Avda. de la Constitución 2222;Mexico City;Mexico;MX;North America;5021.0;19.631915;-99.133418;(5) 555-3745;(5) 555-4729
3;La Ropa Vieja;Sancho Panza;C/ Ritual de lo Habitual  2312;Mexico City;Mexico;MX;North America;5023.0;19.545652;-99.138955;;(5) 555-3932
4;Dr Jims Trousers;Carl Montgomery;120 Hanover Sq.;London;UK;GB;Europe;;51.541599;-0.224499;(171) 555-6750;(171) 555-7788
5;Urras Shop;Urra Gurra Aktersnurra;Berguvsvägen  8;Gothenburg;Sweden;SE;Europe;;57.811813;12.226721;0921-12 34 67;0921-12 34 65
6;Man Kleider;Herman Hinschler;Forsterstr. 57;Mannheim;Germany;DE;Europe;68306.0;49.502001;8.506874;0621-08924;0621-08460
7;Menàge à Trois;Julie Binoché;24, place Kléber;Strasbourg;France;FR;Europe;67000.0;48.783732;7.544663;88.60.15.32;88.60.15.31
8;Las Corbatas;Julio Iglesias;C/ de Don Quijote, 67;Madrid;Spain;ES;Europe;28023.0;40.426223;-3.712411;(91) 555 91 99;(91) 555 22 82
9;La Legion Mercenaire;Bernard de Gaule;12, rue des Bouchers;Marseille;France;FR;Europe;13008.0;43.26113;5.388661;91.24.45.41;91.24.45.40
10;Big Foot Shoes;James Hendersson;23 Tsawassen Blvd.;Vancouver;Canada;CA;North America;;49.030118;-123.097736;(604) 555-3745;(604) 555-4729
11;Shoe Expert;David Foot;Fauntleroy Circus;London;UK;GB;Europe;;51.507351;-0.127758;;(171) 555-1212
12;Los Pantalones Magicos;Victoria Abril;Plaza de Mayo 6;Buenos Aires;Argentina;AR;South America;1010.0;-34.609024;-58.380802;(1) 135-4892;(1) 135-5555
13;Los Sombreros Gigantes;Speedy Gonzales;El Barrio Chino 12;Mexico City;Mexico;MX;North America;5021.0;19.322981;-99.239488;(5) 555-7293;(5) 555-3392
